file,Distance,Iteration,Running time
eil51,459,45,0.070042
lin105,15314,123,1.48162
pcb442,55865,491,436.446
eil51,456,44,0.088916
lin105,15730,113,1.88907
pcb442,56965,517,653.466
eil51,461,42,0.061589
lin105,15428,110,1.32529
pcb442,55170,495,450.189
eil51,479,42,0.065884
lin105,15263,109,1.3124
pcb442,56189,510,463.833
eil51,478,38,0.076974
lin105,15002,112,1.87098
pcb442,57400,499,622.991
eil51,479,41,0.08469
eil51,476,41,0.0647
lin105,15569,108,1.29999
pcb442,55767,511,457.813
eil51,463,43,0.067724
lin105,14907,113,1.36308
eil51,473,39,0.085462
lin105,15849,114,1.97182
pcb442,56109,506,460.412
eil51,485,43,0.067532
lin105,15392,110,1.33029
pcb442,56895,504,457.872
eil51,482,39,0.061465
lin105,15473,110,1.32158
pcb442,57024,516,468.846
eil51,460,38,0.058981
lin105,15291,112,1.34548
pcb442,55012,509,449.416
eil51,476,42,0.065244
lin105,15605,118,1.4453
pcb442,55875,511,464.837
eil51,458,46,0.069124
lin105,15395,117,1.40055
pcb442,56386,511,464.373
eil51,450,42,0.064111
lin105,15803,111,1.3287
pcb442,55697,509,452.8
eil51,449,46,0.071474
lin105,16104,107,1.28426
pcb442,55548,494,443.108
eil51,466,48,0.072615
lin105,15958,111,1.3348
pcb442,54951,508,448.734
eil51,475,40,0.060962
lin105,15042,113,1.35739
pcb442,55584,507,461.245
eil51,464,45,0.071793
lin105,15025,129,1.55014
pcb442,56329,492,438.092
eil51,473,42,0.064056
lin105,15540,110,1.31943
pcb442,56854,487,431.165
eil51,461,48,0.07372
lin105,15569,107,1.28531
pcb442,56273,511,462.392
eil51,461,46,0.07074
lin105,15593,110,1.32177
pcb442,56720,507,461.06
eil51,470,41,0.062629
lin105,15149,124,1.48588
pcb442,55620,519,471.754
eil51,464,44,0.068295
lin105,15196,112,1.34712
pcb442,56580,500,450.259
eil51,462,40,0.061642
lin105,14755,115,1.38142
pcb442,55383,515,468.742
eil51,456,42,0.064635
lin105,15185,117,1.40007
pcb442,55460,511,464.857
eil51,476,42,0.063797
lin105,15255,113,1.35605
pcb442,55670,509,456.053
eil51,467,49,0.07105
lin105,15458,102,1.22109
pcb442,55843,513,466.087
eil51,474,44,0.069651
lin105,16112,112,1.34238
eil51,466,46,0.094458
lin105,15319,112,1.88488
pcb442,56700,506,639.207
